Archivo utilizado,Propiedad,Valor Obtenido
misc/7.1.09.tiff,Eficiencia de la codificación original de la fuente,0.774230741102713
misc/7.1.09.tiff,Eficiencia del nuevo código de Huffman,0.776879875551864
misc/7.1.09.tiff,Memoria original,2312472
misc/7.1.09.tiff,Memoria comprimida,1827096
misc/7.1.09.tiff,Tasa de compresión,0.20989486575405
misc/7.1.09.tiff,Incoherencias,0
misc/7.1.10.tiff,Entropía de la fuente,5.91291996495343
misc/7.1.10.tiff,Longitud media del código de Huffman,5.93374968544782
misc/7.1.10.tiff,Varianza del código de Huffman,1.86288912731657
misc/7.1.10.tiff,Eficiencia de la codificación original de la fuente,0.739114995619179
misc/7.1.10.tiff,Eficiencia del nuevo código de Huffman,0.741718710680977
misc/7.1.10.tiff,Memoria original,2312472
misc/7.1.10.tiff,Memoria comprimida,1624056
misc/7.1.10.tiff,Tasa de compresión,0.297697009952985
misc/7.1.10.tiff,Incoherencias,0
misc/7.2.01.tiff,Entropía de la fuente,5.64264959184862
misc/7.2.01.tiff,Longitud media del código de Huffman,5.67790714305885
misc/7.2.01.tiff,Varianza del código de Huffman,3.49685692955796
misc/7.2.01.tiff,Eficiencia de la codificación original de la fuente,0.705331198981078
misc/7.2.01.tiff,Eficiencia del nuevo código de Huffman,0.709738392882356
misc/7.2.01.tiff,Memoria original,8448728
misc/7.2.01.tiff,Memoria comprimida,6675480
misc/7.2.01.tiff,Tasa de compresión,0.209883428606058
misc/7.2.01.tiff,Incoherencias,0
misc/boat.512.tiff,Entropía de la fuente,7.19434575237336
misc/boat.512.tiff,Longitud media del código de Huffman,7.22160836974484
misc/boat.512.tiff,Varianza del código de Huffman,1.80810611917617
misc/boat.512.tiff,Eficiencia de la codificación original de la fuente,0.89929321904667
misc/boat.512.tiff,Eficiencia del nuevo código de Huffman,0.902701046218105
misc/boat.512.tiff,Memoria original,2312472
misc/boat.512.tiff,Memoria comprimida,2055512
misc/boat.512.tiff,Tasa de compresión,0.111119183280922
misc/boat.512.tiff,Incoherencias,0
misc/gray21.512.tiff,Entropía de la fuente,4.3946231422876
misc/gray21.512.tiff,Longitud media del código de Huffman,4.52249521500155
misc/gray21.512.tiff,Varianza del código de Huffman,0.348061134489009
misc/gray21.512.tiff,Eficiencia de la codificación original de la fuente,0.54932789278595
misc/gray21.512.tiff,Eficiencia del nuevo código de Huffman,0.565311901875194
misc/gray21.512.tiff,Memoria original,2312472
misc/gray21.512.tiff,Memoria comprimida,1283160
misc/gray21.512.tiff,Tasa de compresión,0.445113281371623
misc/gray21.512.tiff,Incoherencias,0
misc/house.tiff,Entropía de la fuente,7.48639458297963
misc/house.tiff,Longitud media del código de Huffman,7.51366308487992
misc/house.tiff,Varianza del código de Huffman,0.967659874527402
misc/house.tiff,Eficiencia de la codificación original de la fuente,0.935799322872453
misc/house.tiff,Eficiencia del nuevo código de Huffman,0.93920788560999
misc/house.tiff,Memoria original,6675480
misc/house.tiff,Memoria comprimida,5933720
misc/house.tiff,Tasa de compresión,0.111117103189583
misc/house.tiff,Incoherencias,0
misc/ruler.512.tiff,Entropía de la fuente,0.504089930127514
misc/ruler.512.tiff,Longitud media del código de Huffman,1.11105773263098
misc/ruler.512.tiff,Varianza del código de Huffman,0.101583473885697
misc/ruler.512.tiff,Eficiencia de la codificación original de la fuente,0.0630112412659393
misc/ruler.512.tiff,Eficiencia del nuevo código de Huffman,0.138882216578873
misc/ruler.512.tiff,Memoria original,2312472
misc/ruler.512.tiff,Memoria comprimida,312024
misc/ruler.512.tiff,Tasa de compresión,0.865069068944402
misc/ruler.512.tiff,Incoherencias,0
